name,description,unit,type
HSC-I_m_base_PsfFlux_flag_badCentroid,General Failure Flag,None,bool
HSC-I_m_base_SdssShape_flag_badCentroid,General Failure Flag,None,bool
HSC-I_m_base_Variance_flag_badCentroid,General Failure Flag,None,bool
HSC-I_m_slot_Centroid_flag,General Failure Flag,None,bool
HSC-I_m_base_SdssCentroid_flag_edge,Object too close to edge,None,bool
HSC-I_m_base_CircularApertureFlux_flag_badCentroid_edge,Object too close to edge,None,bool
HSC-I_m_base_GaussianFlux_flag_badCentroid_edge,Object too close to edge,None,bool
HSC-I_m_base_InputCount_flag_badCentroid_edge,Object too close to edge,None,bool
HSC-I_m_base_LocalBackground_flag_badCentroid_edge,Object too close to edge,None,bool
HSC-I_m_base_NaiveCentroid_flag_badInitialCentroid_edge,Object too close to edge,None,bool
HSC-I_m_base_PsfFlux_flag_badCentroid_edge,Object too close to edge,None,bool
HSC-I_m_base_SdssShape_flag_badCentroid_edge,Object too close to edge,None,bool
HSC-I_m_base_Variance_flag_badCentroid_edge,Object too close to edge,None,bool
HSC-I_m_slot_Centroid_flag_edge,Object too close to edge,None,bool
HSC-I_m_base_SdssCentroid_flag_noSD,Vanishing second derivative,None,bool
HSC-I_m_base_CircularApertureFlux_flag_badCentroid_noSD,Vanishing second derivative,None,bool
HSC-I_m_base_GaussianFlux_flag_badCentroid_noSD,Vanishing second derivative,None,bool
HSC-I_m_base_InputCount_flag_badCentroid_noSD,Vanishing second derivative,None,bool
HSC-I_m_base_LocalBackground_flag_badCentroid_noSD,Vanishing second derivative,None,bool
HSC-I_m_base_NaiveCentroid_flag_badInitialCentroid_noSD,Vanishing second derivative,None,bool
HSC-I_m_base_PsfFlux_flag_badCentroid_noSD,Vanishing second derivative,None,bool
HSC-I_m_base_SdssShape_flag_badCentroid_noSD,Vanishing second derivative,None,bool
HSC-I_m_base_Variance_flag_badCentroid_noSD,Vanishing second derivative,None,bool
HSC-I_m_slot_Centroid_flag_noSD,Vanishing second derivative,None,bool
HSC-I_m_base_SdssCentroid_flag_almostNoSD,Almost vanishing second derivative,None,bool
HSC-I_m_base_CircularApertureFlux_flag_badCentroid_almostNoSD,Almost vanishing second derivative,None,bool
HSC-I_m_base_GaussianFlux_flag_badCentroid_almostNoSD,Almost vanishing second derivative,None,bool
HSC-I_m_base_InputCount_flag_badCentroid_almostNoSD,Almost vanishing second derivative,None,bool
HSC-I_m_base_LocalBackground_flag_badCentroid_almostNoSD,Almost vanishing second derivative,None,bool
HSC-I_m_base_NaiveCentroid_flag_badInitialCentroid_almostNoSD,Almost vanishing second derivative,None,bool
HSC-I_m_base_PsfFlux_flag_badCentroid_almostNoSD,Almost vanishing second derivative,None,bool
HSC-I_m_base_SdssShape_flag_badCentroid_almostNoSD,Almost vanishing second derivative,None,bool
HSC-I_m_base_Variance_flag_badCentroid_almostNoSD,Almost vanishing second derivative,None,bool
HSC-I_m_slot_Centroid_flag_almostNoSD,Almost vanishing second derivative,None,bool
HSC-I_m_base_SdssCentroid_flag_notAtMaximum,Object is not at a maximum,None,bool
HSC-I_m_base_CircularApertureFlux_flag_badCentroid_notAtMaximum,Object is not at a maximum,None,bool
HSC-I_m_base_GaussianFlux_flag_badCentroid_notAtMaximum,Object is not at a maximum,None,bool
HSC-I_m_base_InputCount_flag_badCentroid_notAtMaximum,Object is not at a maximum,None,bool
HSC-I_m_base_LocalBackground_flag_badCentroid_notAtMaximum,Object is not at a maximum,None,bool
HSC-I_m_base_NaiveCentroid_flag_badInitialCentroid_notAtMaximum,Object is not at a maximum,None,bool
HSC-I_m_base_PsfFlux_flag_badCentroid_notAtMaximum,Object is not at a maximum,None,bool
HSC-I_m_base_SdssShape_flag_badCentroid_notAtMaximum,Object is not at a maximum,None,bool
HSC-I_m_base_Variance_flag_badCentroid_notAtMaximum,Object is not at a maximum,None,bool
HSC-I_m_slot_Centroid_flag_notAtMaximum,Object is not at a maximum,None,bool
HSC-I_m_base_SdssCentroid_flag_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-I_m_base_CircularApertureFlux_flag_badCentroid_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-I_m_base_GaussianFlux_flag_badCentroid_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-I_m_base_InputCount_flag_badCentroid_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-I_m_base_LocalBackground_flag_badCentroid_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-I_m_base_NaiveCentroid_flag_badInitialCentroid_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-I_m_base_PsfFlux_flag_badCentroid_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-I_m_base_SdssShape_flag_badCentroid_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-I_m_base_Variance_flag_badCentroid_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-I_m_slot_Centroid_flag_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-I_m_base_SdssCentroid_flag_badError,Error on x and/or y position is NaN,None,bool
HSC-I_m_base_CircularApertureFlux_flag_badCentroid_badError,Error on x and/or y position is NaN,None,bool
HSC-I_m_base_GaussianFlux_flag_badCentroid_badError,Error on x and/or y position is NaN,None,bool
HSC-I_m_base_InputCount_flag_badCentroid_badError,Error on x and/or y position is NaN,None,bool
HSC-I_m_base_LocalBackground_flag_badCentroid_badError,Error on x and/or y position is NaN,None,bool
HSC-I_m_base_NaiveCentroid_flag_badInitialCentroid_badError,Error on x and/or y position is NaN,None,bool
HSC-I_m_base_PsfFlux_flag_badCentroid_badError,Error on x and/or y position is NaN,None,bool
HSC-I_m_base_SdssShape_flag_badCentroid_badError,Error on x and/or y position is NaN,None,bool
HSC-I_m_base_Variance_flag_badCentroid_badError,Error on x and/or y position is NaN,None,bool
HSC-I_m_slot_Centroid_flag_badError,Error on x and/or y position is NaN,None,bool
HSC-I_m_base_InputCount_flag,Set for any fatal failure,None,bool
HSC-I_m_base_InputCount_value,"Number of images contributing at center, not including anyclipping",None,int32
HSC-I_m_base_InputCount_flag_noInputs,No coadd inputs available,None,bool
HSC-I_m_base_SdssShape_xx,elliptical Gaussian adaptive moments,pix2,float64
HSC-I_m_slot_Shape_xx,elliptical Gaussian adaptive moments,pix2,float64
HSC-I_m_base_SdssShape_yy,elliptical Gaussian adaptive moments,pix2,float64
HSC-I_m_slot_Shape_yy,elliptical Gaussian adaptive moments,pix2,float64
HSC-I_m_base_SdssShape_xy,elliptical Gaussian adaptive moments,pix2,float64
HSC-I_m_slot_Shape_xy,elliptical Gaussian adaptive moments,pix2,float64
HSC-I_m_base_SdssShape_xxErr,Standard deviation of xx moment,pix2,float32
HSC-I_m_slot_Shape_xxErr,Standard deviation of xx moment,pix2,float32
HSC-I_m_base_SdssShape_yyErr,Standard deviation of yy moment,pix2,float32
HSC-I_m_slot_Shape_yyErr,Standard deviation of yy moment,pix2,float32
HSC-I_m_base_SdssShape_xyErr,Standard deviation of xy moment,pix2,float32
HSC-I_m_slot_Shape_xyErr,Standard deviation of xy moment,pix2,float32
HSC-I_m_base_SdssShape_x,elliptical Gaussian adaptive moments,pix,float64
HSC-I_m_slot_Shape_x,elliptical Gaussian adaptive moments,pix,float64
HSC-I_m_base_SdssShape_y,elliptical Gaussian adaptive moments,pix,float64
HSC-I_m_slot_Shape_y,elliptical Gaussian adaptive moments,pix,float64
HSC-I_m_base_SdssShape_instFlux,elliptical Gaussian adaptive moments,ct,float64
HSC-I_m_slot_Shape_instFlux,elliptical Gaussian adaptive moments,ct,float64
HSC-I_m_base_SdssShape_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_slot_Shape_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_SdssShape_psf_xx,adaptive moments of the PSF model at the object position,pix2,float64
HSC-I_m_slot_PsfShape_xx,adaptive moments of the PSF model at the object position,pix2,float64
HSC-I_m_slot_Shape_psf_xx,adaptive moments of the PSF model at the object position,pix2,float64
HSC-I_m_base_SdssShape_psf_yy,adaptive moments of the PSF model at the object position,pix2,float64
HSC-I_m_slot_PsfShape_yy,adaptive moments of the PSF model at the object position,pix2,float64
HSC-I_m_slot_Shape_psf_yy,adaptive moments of the PSF model at the object position,pix2,float64
HSC-I_m_base_SdssShape_psf_xy,adaptive moments of the PSF model at the object position,pix2,float64
HSC-I_m_slot_PsfShape_xy,adaptive moments of the PSF model at the object position,pix2,float64
HSC-I_m_slot_Shape_psf_xy,adaptive moments of the PSF model at the object position,pix2,float64
HSC-I_m_base_SdssShape_instFlux_xx_Cov,uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_xx,ct pix2,float32
HSC-I_m_slot_Shape_instFlux_xx_Cov,uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_xx,ct pix2,float32
HSC-I_m_base_SdssShape_instFlux_yy_Cov,uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_yy,ct pix2,float32
HSC-I_m_slot_Shape_instFlux_yy_Cov,uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_yy,ct pix2,float32
HSC-I_m_base_SdssShape_instFlux_xy_Cov,uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_xy,ct pix2,float32
HSC-I_m_slot_Shape_instFlux_xy_Cov,uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_xy,ct pix2,float32
HSC-I_m_base_SdssShape_flag,General Failure Flag,None,bool
HSC-I_m_base_GaussianFlux_flag_badShape,General Failure Flag,None,bool
HSC-I_m_slot_Shape_flag,General Failure Flag,None,bool
HSC-I_m_base_SdssShape_flag_unweightedBad,Both weighted and unweighted moments were invalid,None,bool
HSC-I_m_base_GaussianFlux_flag_badShape_unweightedBad,Both weighted and unweighted moments were invalid,None,bool
HSC-I_m_slot_Shape_flag_unweightedBad,Both weighted and unweighted moments were invalid,None,bool
HSC-I_m_base_SdssShape_flag_unweighted,Weighted moments converged to an invalid value; using unweighted moments,None,bool
HSC-I_m_base_GaussianFlux_flag_badShape_unweighted,Weighted moments converged to an invalid value; using unweighted moments,None,bool
HSC-I_m_slot_Shape_flag_unweighted,Weighted moments converged to an invalid value; using unweighted moments,None,bool
HSC-I_m_base_SdssShape_flag_shift,centroid shifted by more than the maximum allowed amount,None,bool
HSC-I_m_base_GaussianFlux_flag_badShape_shift,centroid shifted by more than the maximum allowed amount,None,bool
HSC-I_m_slot_Shape_flag_shift,centroid shifted by more than the maximum allowed amount,None,bool
HSC-I_m_base_SdssShape_flag_maxIter,Too many iterations in adaptive moments,None,bool
HSC-I_m_base_GaussianFlux_flag_badShape_maxIter,Too many iterations in adaptive moments,None,bool
HSC-I_m_slot_Shape_flag_maxIter,Too many iterations in adaptive moments,None,bool
HSC-I_m_base_SdssShape_flag_psf,Failure in measuring PSF model shape,None,bool
HSC-I_m_base_GaussianFlux_flag_badShape_psf,Failure in measuring PSF model shape,None,bool
HSC-I_m_slot_Shape_flag_psf,Failure in measuring PSF model shape,None,bool
HSC-I_m_base_CircularApertureFlux_3_0_instFlux,instFlux within 3.000000-pixel aperture,ct,float64
HSC-I_m_base_CircularApertureFlux_3_0_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_CircularApertureFlux_3_0_flag,General Failure Flag,None,bool
HSC-I_m_base_CircularApertureFlux_3_0_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_3_0_flag_sincCoeffsTruncated,full sinc coefficient image did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_4_5_instFlux,instFlux within 4.500000-pixel aperture,ct,float64
HSC-I_m_base_CircularApertureFlux_4_5_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_CircularApertureFlux_4_5_flag,General Failure Flag,None,bool
HSC-I_m_base_CircularApertureFlux_4_5_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_4_5_flag_sincCoeffsTruncated,full sinc coefficient image did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_6_0_instFlux,instFlux within 6.000000-pixel aperture,ct,float64
HSC-I_m_base_CircularApertureFlux_6_0_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_CircularApertureFlux_6_0_flag,General Failure Flag,None,bool
HSC-I_m_base_CircularApertureFlux_6_0_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_6_0_flag_sincCoeffsTruncated,full sinc coefficient image did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_9_0_instFlux,instFlux within 9.000000-pixel aperture,ct,float64
HSC-I_m_base_CircularApertureFlux_9_0_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_CircularApertureFlux_9_0_flag,General Failure Flag,None,bool
HSC-I_m_base_CircularApertureFlux_9_0_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_9_0_flag_sincCoeffsTruncated,full sinc coefficient image did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_12_0_instFlux,instFlux within 12.000000-pixel aperture,ct,float64
HSC-I_m_slot_ApFlux_instFlux,instFlux within 12.000000-pixel aperture,ct,float64
HSC-I_m_slot_CalibFlux_instFlux,instFlux within 12.000000-pixel aperture,ct,float64
HSC-I_m_base_CircularApertureFlux_12_0_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_slot_ApFlux_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_slot_CalibFlux_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_CircularApertureFlux_12_0_flag,General Failure Flag,None,bool
HSC-I_m_slot_ApFlux_flag,General Failure Flag,None,bool
HSC-I_m_slot_CalibFlux_flag,General Failure Flag,None,bool
HSC-I_m_base_CircularApertureFlux_12_0_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_slot_ApFlux_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_slot_CalibFlux_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_17_0_instFlux,instFlux within 17.000000-pixel aperture,ct,float64
HSC-I_m_base_CircularApertureFlux_17_0_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_CircularApertureFlux_17_0_flag,General Failure Flag,None,bool
HSC-I_m_base_CircularApertureFlux_17_0_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_25_0_instFlux,instFlux within 25.000000-pixel aperture,ct,float64
HSC-I_m_base_CircularApertureFlux_25_0_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_CircularApertureFlux_25_0_flag,General Failure Flag,None,bool
HSC-I_m_base_CircularApertureFlux_25_0_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_35_0_instFlux,instFlux within 35.000000-pixel aperture,ct,float64
HSC-I_m_base_CircularApertureFlux_35_0_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_CircularApertureFlux_35_0_flag,General Failure Flag,None,bool
HSC-I_m_base_CircularApertureFlux_35_0_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_50_0_instFlux,instFlux within 50.000000-pixel aperture,ct,float64
HSC-I_m_base_CircularApertureFlux_50_0_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_CircularApertureFlux_50_0_flag,General Failure Flag,None,bool
HSC-I_m_base_CircularApertureFlux_50_0_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_base_CircularApertureFlux_70_0_instFlux,instFlux within 70.000000-pixel aperture,ct,float64
HSC-I_m_base_CircularApertureFlux_70_0_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_CircularApertureFlux_70_0_flag,General Failure Flag,None,bool
HSC-I_m_base_CircularApertureFlux_70_0_flag_apertureTruncated,aperture did not fit within measurement image,None,bool
HSC-I_m_base_GaussianFlux_instFlux,instFlux from Gaussian Flux algorithm,ct,float64
HSC-I_m_slot_GaussianFlux_instFlux,instFlux from Gaussian Flux algorithm,ct,float64
HSC-I_m_slot_ModelFlux_instFlux,instFlux from Gaussian Flux algorithm,ct,float64
HSC-I_m_base_GaussianFlux_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_slot_GaussianFlux_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_slot_ModelFlux_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_GaussianFlux_flag,General Failure Flag,None,bool
HSC-I_m_slot_GaussianFlux_flag,General Failure Flag,None,bool
HSC-I_m_slot_ModelFlux_flag,General Failure Flag,None,bool
HSC-I_m_base_LocalBackground_instFlux,background in annulus around source,ct,float64
HSC-I_m_base_LocalBackground_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_LocalBackground_flag,General Failure Flag,None,bool
HSC-I_m_base_LocalBackground_flag_noGoodPixels,no good pixels in the annulus,None,bool
HSC-I_m_base_LocalBackground_flag_noPsf,no PSF provided,None,bool
HSC-I_m_base_LocalPhotoCalib_flag,Set for any fatal failure,None,bool
HSC-I_m_base_LocalPhotoCalib,Local approximation of the PhotoCalib calibration factor at the location of the src.,None,float64
HSC-I_m_base_LocalPhotoCalibErr,Error on the local approximation of the PhotoCalib calibration factor at the location of the src.,None,float64
HSC-I_m_base_LocalWcs_flag,Set for any fatal failure,None,bool
HSC-I_m_base_LocalWcs_CDMatrix_1_1,"(1, 1) element of the CDMatrix for the linear approximation of the WCS at the src location. Gives units in radians.",None,float64
HSC-I_m_base_LocalWcs_CDMatrix_1_2,"(1, 2) element of the CDMatrix for the linear approximation of the WCS at the src location. Gives units in radians.",None,float64
HSC-I_m_base_LocalWcs_CDMatrix_2_1,"(2, 1) element of the CDMatrix for the linear approximation of the WCS at the src location. Gives units in radians.",None,float64
HSC-I_m_base_LocalWcs_CDMatrix_2_2,"(2, 2) element of the CDMatrix for the linear approximation of the WCS at the src location. Gives units in radians.",None,float64
HSC-I_m_base_PixelFlags_flag,"General failure flag, set if anything went wrong",None,bool
HSC-I_m_base_PixelFlags_flag_offimage,Source center is off image,None,bool
HSC-I_m_base_PixelFlags_flag_edge,Source is outside usable exposure region (masked EDGE or NO_DATA),None,bool
HSC-I_m_base_PixelFlags_flag_interpolated,Interpolated pixel in the Source footprint,None,bool
HSC-I_m_base_PixelFlags_flag_saturated,Saturated pixel in the Source footprint,None,bool
HSC-I_m_base_PixelFlags_flag_cr,Cosmic ray in the Source footprint,None,bool
HSC-I_m_base_PixelFlags_flag_bad,Bad pixel in the Source footprint,None,bool
HSC-I_m_base_PixelFlags_flag_suspect,Source''s footprint includes suspect pixels,None,bool
HSC-I_m_base_PixelFlags_flag_interpolatedCenter,Interpolated pixel in the Source center,None,bool
HSC-I_m_base_PixelFlags_flag_saturatedCenter,Saturated pixel in the Source center,None,bool
HSC-I_m_base_PixelFlags_flag_crCenter,Cosmic ray in the Source center,None,bool
HSC-I_m_base_PixelFlags_flag_suspectCenter,Source''s center is close to suspect pixels,None,bool
HSC-I_m_base_PixelFlags_flag_clippedCenter,Source center is close to CLIPPED pixels,None,bool
HSC-I_m_base_PixelFlags_flag_sensor_edgeCenter,Source center is close to SENSOR_EDGE pixels,None,bool
HSC-I_m_base_PixelFlags_flag_inexact_psfCenter,Source center is close to INEXACT_PSF pixels,None,bool
HSC-I_m_base_PixelFlags_flag_clipped,Source footprint includes CLIPPED pixels,None,bool
HSC-I_m_base_PixelFlags_flag_sensor_edge,Source footprint includes SENSOR_EDGE pixels,None,bool
HSC-I_m_base_PixelFlags_flag_inexact_psf,Source footprint includes INEXACT_PSF pixels,None,bool
HSC-I_m_base_PsfFlux_instFlux,instFlux derived from linear least-squares fit of PSF model,ct,float64
HSC-I_m_slot_PsfFlux_instFlux,instFlux derived from linear least-squares fit of PSF model,ct,float64
HSC-I_m_base_PsfFlux_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_slot_PsfFlux_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC-I_m_base_PsfFlux_area,effective area of PSF,pix,float32
HSC-I_m_slot_PsfFlux_area,effective area of PSF,pix,float32
HSC-I_m_base_PsfFlux_flag,General Failure Flag,None,bool
HSC-I_m_slot_PsfFlux_flag,General Failure Flag,None,bool
HSC-I_m_base_PsfFlux_flag_noGoodPixels,not enough non-rejected pixels in data to attempt the fit,None,bool
HSC-I_m_slot_PsfFlux_flag_noGoodPixels,not enough non-rejected pixels in data to attempt the fit,None,bool
HSC-I_m_base_PsfFlux_flag_edge,object was too close to the edge of the image to use the full PSF model,None,bool
HSC-I_m_slot_PsfFlux_flag_edge,object was too close to the edge of the image to use the full PSF model,None,bool
HSC-I_m_base_Variance_flag,Set for any fatal failure,None,bool
HSC-I_m_base_Variance_value,Variance at object position,None,float64
HSC-I_m_base_Variance_flag_emptyFootprint,Set to True when the footprint has no usable pixels,None,bool
HSC-I_m_detect_isPatchInner,true if source is in the inner region of a coadd patch,None,bool
HSC-I_m_detect_isTractInner,true if source is in the inner region of a coadd tract,None,bool
HSC-I_m_detect_isPrimary,"true if source has no children and is in the inner region of a coadd patch and is in the inner region of a coadd tract and is not ""detected"" in a pseudo-filter (see config.pseudoFilterList)",None,bool
HSC-I_m_base_GaussianFlux_apCorr,aperture correction applied to base_GaussianFlux,None,float64
HSC-I_m_slot_GaussianFlux_apCorr,aperture correction applied to base_GaussianFlux,None,float64
HSC-I_m_slot_ModelFlux_apCorr,aperture correction applied to base_GaussianFlux,None,float64
HSC-I_m_base_GaussianFlux_apCorrErr,standard deviation of aperture correction applied to base_GaussianFlux,None,float64
HSC-I_m_slot_GaussianFlux_apCorrErr,standard deviation of aperture correction applied to base_GaussianFlux,None,float64
HSC-I_m_slot_ModelFlux_apCorrErr,standard deviation of aperture correction applied to base_GaussianFlux,None,float64
HSC-I_m_base_GaussianFlux_flag_apCorr,set if unable to aperture correct base_GaussianFlux,None,bool
HSC-I_m_slot_GaussianFlux_flag_apCorr,set if unable to aperture correct base_GaussianFlux,None,bool
HSC-I_m_slot_ModelFlux_flag_apCorr,set if unable to aperture correct base_GaussianFlux,None,bool
HSC-I_m_base_PsfFlux_apCorr,aperture correction applied to base_PsfFlux,None,float64
HSC-I_m_slot_PsfFlux_apCorr,aperture correction applied to base_PsfFlux,None,float64
HSC-I_m_base_PsfFlux_apCorrErr,standard deviation of aperture correction applied to base_PsfFlux,None,float64
HSC-I_m_slot_PsfFlux_apCorrErr,standard deviation of aperture correction applied to base_PsfFlux,None,float64
HSC-I_m_base_PsfFlux_flag_apCorr,set if unable to aperture correct base_PsfFlux,None,bool
HSC-I_m_slot_PsfFlux_flag_apCorr,set if unable to aperture correct base_PsfFlux,None,bool
HSC-I_m_base_ClassificationExtendedness_value,"Set to 1 for extended sources, 0 for point sources.",None,float64
HSC-I_m_base_ClassificationExtendedness_flag,Set to 1 for any fatal failure.,None,bool
HSC-I_m_base_FootprintArea_value,Number of pixels in the source''s detection footprint.,pix,int32
HSC-I_m_base_SdssShape_mag,,elliptical Gaussian adaptive moments,float64
HSC-I_m_base_SdssShape_magErr,,elliptical Gaussian adaptive moments,float64
HSC-I_m_base_SdssShape_flux,,elliptical Gaussian adaptive moments,float64
HSC-I_m_base_SdssShape_fluxErr,,elliptical Gaussian adaptive moments,float64
HSC-I_m_slot_Shape_mag,,elliptical Gaussian adaptive moments,float64
HSC-I_m_slot_Shape_magErr,,elliptical Gaussian adaptive moments,float64
HSC-I_m_slot_Shape_flux,,elliptical Gaussian adaptive moments,float64
HSC-I_m_slot_Shape_fluxErr,,elliptical Gaussian adaptive moments,float64
HSC-I_m_base_CircularApertureFlux_3_0_mag,,mag within 3.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_3_0_magErr,,mag within 3.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_3_0_flux,,flux within 3.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_3_0_fluxErr,,flux within 3.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_4_5_mag,,mag within 4.500000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_4_5_magErr,,mag within 4.500000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_4_5_flux,,flux within 4.500000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_4_5_fluxErr,,flux within 4.500000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_6_0_mag,,mag within 6.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_6_0_magErr,,mag within 6.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_6_0_flux,,flux within 6.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_6_0_fluxErr,,flux within 6.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_9_0_mag,,mag within 9.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_9_0_magErr,,mag within 9.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_9_0_flux,,flux within 9.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_9_0_fluxErr,,flux within 9.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_12_0_mag,,mag within 12.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_12_0_magErr,,mag within 12.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_12_0_flux,,flux within 12.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_12_0_fluxErr,,flux within 12.000000-pixel aperture,float64
HSC-I_m_slot_ApFlux_mag,,mag within 12.000000-pixel aperture,float64
HSC-I_m_slot_ApFlux_magErr,,mag within 12.000000-pixel aperture,float64
HSC-I_m_slot_ApFlux_flux,,flux within 12.000000-pixel aperture,float64
HSC-I_m_slot_ApFlux_fluxErr,,flux within 12.000000-pixel aperture,float64
HSC-I_m_slot_CalibFlux_mag,,mag within 12.000000-pixel aperture,float64
HSC-I_m_slot_CalibFlux_magErr,,mag within 12.000000-pixel aperture,float64
HSC-I_m_slot_CalibFlux_flux,,flux within 12.000000-pixel aperture,float64
HSC-I_m_slot_CalibFlux_fluxErr,,flux within 12.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_17_0_mag,,mag within 17.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_17_0_magErr,,mag within 17.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_17_0_flux,,flux within 17.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_17_0_fluxErr,,flux within 17.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_25_0_mag,,mag within 25.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_25_0_magErr,,mag within 25.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_25_0_flux,,flux within 25.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_25_0_fluxErr,,flux within 25.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_35_0_mag,,mag within 35.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_35_0_magErr,,mag within 35.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_35_0_flux,,flux within 35.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_35_0_fluxErr,,flux within 35.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_50_0_mag,,mag within 50.000000-pixel aperture,float64
HSC-I_m_base_CircularApertureFlux_50_0_magErr,,mag within 50.000000-pixel aperture,float64
